building_id,consumption,primary_use,square_feet,year_built
1,527674.2446,Education,2720,2004
2,103057.30780000001,Education,5376,1991
3,1664820.5268,Education,23685,2002
4,6829490.9966,Education,116607,1975
5,123538.005,Education,8000,2000
9,514038.7101,Office,27000,2010
10,6867619.386,Entertainment/public assembly,370773,1991
11,2100869.152,Education,49073,1968
12,1017400.0832000001,Lodging/residential,37100,1999
13,1609754.159,Education,99380,2000
15,1162976.4871,Office,83957,1974
16,5756082.535,Education,54644,1996
18,8918868.192300001,Education,111891,1996
19,898588.4137,Office,18717,2004
20,2234382.2353,Education,110272,1977
21,329237.5788,Office,7043,1990
23,3865752.4287,Education,130885,1985
24,3811316.427,Education,105545,2001
27,1197534.1855000001,Lodging/residential,59200,1999
28,1068907.0291,Office,52957,2016
30,2313473.6376,Education,93897,1999
31,1993000.994,Education,61904,2001
32,1456783.118,Office,48392,2005
33,2196737.2769,Lodging/residential,38686,2002
37,890447.8682,Lodging/residential,53130,2002
38,2121698.381,Office,12769,2013
39,1445276.8985,Office,64619,1969
40,1075428.2604999999,Entertainment/public assembly,26944,2001
41,900826.2387999999,Office,93860,1968
42,5431309.074,Other,226506,1968
43,470789.3168,Retail,59071,1980
44,50298.0266,Retail,283,1985
45,11610.7031,Retail,15304,2016
46,85883.4825,Retail,9045,2016
47,1924314.4789999998,Retail,31666,2008
49,769788.6106,Lodging/residential,24456,1968
50,195661.89190000002,Other,4698,1981
51,394988.0513,Parking,387638,2014
52,1797525.7238999999,Education,106523,1970
53,66948.815,Office,87742,1971
54,2305492.6158999996,Education,7867,2011
55,502984.9213,Office,16726,2011
56,1014680.5815,Lodging/residential,60088,2013
57,1569841.112,Lodging/residential,65359,2013
58,1661731.5829999999,Lodging/residential,83379,2013
59,747101.1225000002,Entertainment/public assembly,81337,2005
60,3603023.5680000004,Education,81576,1997
61,1117266.9540000001,Lodging/residential,38686,2001
62,2275846.7079999996,Lodging/residential,42731,2001
63,991378.8406,Lodging/residential,41617,2001
65,749754.5132000002,Lodging/residential,53130,2001
66,707346.5116999999,Lodging/residential,37241,1981
67,817819.3367999999,Lodging/residential,24456,1968
68,612401.9676999999,Parking,487433,2007
69,432448.49250000005,Parking,387638,2000
70,219862.00439999998,Parking,387638,2007
71,608276.5231,Parking,387638,1998
72,653743.5921,Parking,387638,2002
73,170188.4431,Parking,387638,2008
74,563106.4632,Parking,387638,1997
75,1226255.0363,Education,80942,2010
76,7046287.398,Education,128887,2009
77,746954.7825,Lodging/residential,24456,1968
78,1379940.8656,Education,76257,2007
79,2623461.864,Office,36240,2010
80,7050185.194999999,Office,156111,2001
81,65038.5724,Other,3025,1979
82,233261.6764,Office,10743,1974
83,23944.6586,Other,2070,1996
84,114564.1366,Office,4038,1986
85,641646.5316999999,Lodging/residential,37241,1981
86,373819.2526,Education,10932,1986
87,413020.4767,Entertainment/public assembly,6412,2006
88,3646115.998,Entertainment/public assembly,76527,2007
89,6278171.9761,Retail,161755,1996
91,1896130.0976999998,Education,68094,2003
92,349718.282,Office,10779,1970
93,743136.8944999999,Office,33370,1982
94,340673.55470000004,Education,29469,1968
96,2240507.2917,Lodging/residential,200933,2006
97,1920065.0998999998,Lodging/residential,187647,2007
98,2458044.954,Lodging/residential,200933,2007
99,78118.62169999999,Office,2260,2016
100,689072.3308,Lodging/residential,24456,1968
0,1029097.743,Education,7432,2008
6,456533.94590000005,Lodging/residential,27926,1981
7,2478395.222,Education,121074,1989
8,1827766.2172,Education,60809,2003
14,1836098.273,Education,86250,2013
17,453083.10669999995,Office,15250,1980
22,128928.0768,Education,3569,1996
25,1539908.5131,Office,103286,1969
34,1297150.9977,Lodging/residential,42731,2002
35,1051719.0533,Lodging/residential,41617,2002
36,640133.4032000001,Lodging/residential,53130,2002
90,1464389.1587,Lodging/residential,59200,1999
64,688855.8751,Lodging/residential,53130,2001
95,2654027.8087,Lodging/residential,200933,2006
26,713590.4138,Office,26953,2005
29,2796575.7566,Education,113866,2006
48,418751.2324999999,Other,9569,1989
